account_id,location,tags,equipment,credentials,socials,bio
1,"SRID=4326;POINT(-73.935242 40.730610)","{Fitness,Yoga}","{Dumbbells,Yoga mat}","{ACE Certified Personal Trainer, Yoga Alliance Certified Instructor}","{@exampletrainer}","I'm a certified personal trainer and yoga instructor with 5 years of experience. Let's achieve your fitness goals together!"
2,"SRID=4326;POINT(-74.0060 40.7128)","{CrossFit}","{Kettlebells,Resistance bands}","{CrossFit Level 1 Trainer}","{@crossfitjane}","Passionate CrossFit coach ready to help you get stronger and fitter. Let's crush those WODs!"
3,"SRID=4326;POINT(-73.9772 40.7851)","{Running,Outdoor}","{Running shoes,Hydration pack}","{RRCA Certified Running Coach, NASM Certified Personal Trainer}","{@runningrick}","As a running coach, I specialize in helping beginners start their running journey and seasoned runners reach new milestones. Let's lace up and hit the road!"
4,"SRID=4326;POINT(-74.0059 40.7128)","{Weightlifting}","{Barbell,Dumbbells}","{ISSA Certified Personal Trainer}","{@liftwithjohn}","Passionate about strength training and helping clients reach their lifting goals. Let's get strong together!"
5,"SRID=4326;POINT(-73.9712 40.7831)","{Boxing}","{Punching bag,Boxing gloves}","{USA Boxing Certified Coach}","{@boxingchamp}","Ready to train you in the sweet science of boxing. Let's jab, cross, and hook our way to success!"
6,"SRID=4326;POINT(-73.9890 40.7580)","{Cycling}","{Road bike,Cycling shoes}","{BikeFit Certified Professional}","{@cyclingking}","Experienced cyclist and coach here to help you improve your speed and endurance on the road. Let's pedal to new heights!"
7,"SRID=4326;POINT(-74.0060 40.7129)","{Pilates}","{Pilates reformer,Pilates ball}","{PMA Certified Pilates Instructor}","{@pilatesguru}","Passionate about Pilates and helping clients achieve balance, flexibility, and strength. Let's flow through those movements!"
8,"SRID=4326;POINT(-73.9866 40.7306)","{HIIT,Circuit Training}","{Medicine ball,Kettlebell}","{ACSM Certified Personal Trainer, ACE Group Fitness Instructor}","{@hiitqueen}","High-intensity workouts are my specialty. Let's torch calories and build strength together!"
9,"SRID=4326;POINT(-73.9800 40.7590)","{Barre}","{Barre ball,Resistance bands}","{Barre Above Certified Instructor}","{@barrestudio}","Elevate your fitness with Barre. Let's tone and sculpt those muscles with graceful movements!"
10,"SRID=4326;POINT(-74.0059 40.7128)","{Yoga}","{Yoga blocks,Yoga strap}","{Yoga Alliance Certified Instructor}","{@yogawithsara}","Join me on the mat for a rejuvenating yoga practice. Let's find peace, balance, and strength together!"
11,"SRID=4326;POINT(-73.9880 40.7590)","{Swimming}","{Swim goggles,Swim cap}","{USA Swimming Certified Coach}","{@swimcoachchris}","Dive into the world of swimming with me as your guide. Let's improve your technique and endurance in the water!"
12,"SRID=4326;POINT(-73.9867 40.7305)","{Functional Training}","{TRX Suspension Trainer,Resistance bands}","{NASM Certified Personal Trainer, FMS Certified}","{@functionaltrainerkat}","Functional movements for real-life strength and mobility. Let's move better and live stronger!"
13,"SRID=4326;POINT(-73.9660 40.7990)","{Kickboxing}","{Kickboxing pads,Boxing gloves}","{NKA Certified Kickboxing Instructor}","{@kickboxingcoachmia}","Unleash your inner fighter with kickboxing training. Let's punch and kick our way to fitness!"
14,"SRID=4326;POINT(-73.9936 40.7308)","{Bootcamp}","{Battle ropes,Tires}","{ISSA Certified Personal Trainer}","{@bootcampjoe}","Get ready for an intense full-body workout with my bootcamp classes. Let's sweat and conquer challenges together!"
15,"SRID=4326;POINT(-73.9955 40.7580)","{Martial Arts}","{Martial arts uniform,Martial arts}","{USKA Certified Martial Arts Instructor}","{@martialartsmaster}","Join me in the dojo and learn the art of martial arts. Let's train hard and unleash your inner warrior!"
